lonlat,2019-04-02_07-30,2019-04-02_07-31
"116.337871,40.023272",20,20
"116.334256,40.022798",20,20
"116.22372,39.99405",20,20
"116.224026,39.994317",20,20
"116.224456,39.994635",20,20
"116.225039,39.995023",20,20
"116.225696,39.995387",20,20
"116.226469,39.995733",20,20
"116.227404,39.996066",20,20
"116.228131,39.996292",20,20
"116.229615,39.996636",20,20
"116.23618,39.997798",20,20
"116.352236,39.939936",60,60
"116.352106,39.940363",20,20
"116.353814,39.94055",20,20
"116.352554,39.940411",20,20
"116.352236,39.940375",20,20
"116.3058,40.051103",20,20
"116.30513,40.052326",20,20
"116.304945,40.05267",20,20
"116.317171,40.071326",20,20
"116.351384,40.023006",20,20
"116.340639,40.038497",40,20
"116.34158,40.038294",40,20
"116.353556,39.988314",20,20
"116.353517,39.989092",20,20
"116.350821,40.023496",60,20
"116.350817,40.023291",60,20
"116.350856,40.023061",20,20
"116.350899,40.022894",20,20
"116.35097,40.022725",20,20
"116.350152,39.986635",40,40
"116.352889,39.986748",40,40
"116.354154,39.986795",40,40
"116.357035,39.986879",40,40
"116.35874,39.986949",40,40
"116.353663,39.985308",20,20
"116.35363,39.986625",40,40
"116.353689,39.982495",20,20
"116.353997,39.977657",40,40
"116.353978,39.977362",40,40
"116.354243,39.975091",20,20
"116.35411,39.977658",40,40
"116.356269,39.945792",20,20
"116.354985,39.957459",20,20
"116.340825,40.03921",40,20
"116.35339,39.98706",20,20
"116.316284,39.985202",20,20
"116.322016,39.967085",40,40
"116.314961,39.964766",20,20
"116.321062,39.967099",40,40
"116.321156,39.966845",20,20
"116.321206,39.966708",20,20
"116.321272,39.967136",40,40
"116.321254,39.96718",40,40
"116.321426,39.966761",20,20
"116.321374,39.966888",20,20
"116.325795,39.966984",40,40
"116.326717,39.967165",60,60
"116.310264,39.926195",60,60
"116.31027,39.926962",60,60
"116.310269,39.927003",60,60
"116.310267,39.929299",40,60
"116.310306,39.93098",40,40
"116.324387,39.967065",40,40
"116.352947,39.967628",20,20
"116.355277,39.967633",20,20
"116.359388,39.967622",20,20
"116.362438,39.96764",20,20
"116.363429,39.967652",20,20
"116.366092,39.967696",20,20
"116.366331,39.967699",20,20
"116.366762,39.967706",20,20
"116.35527,39.96775",20,20
"116.364674,39.967509",20,20
"116.380333,39.967875",60,60
"116.379863,39.964126",20,20
"116.379558,39.961438",20,20
"116.380483,39.967879",60,60
"116.380557,39.96841",60,60
"116.380403,39.968413",60,60
"116.380679,39.96932",60,60
"116.3807,39.969504",60,60
"116.381219,39.974106",40,40
"116.381405,39.975619",40,40
"116.381447,39.976138",40,40
"116.373599,39.967929",40,40
"116.374447,39.967949",40,40
"116.375846,39.967979",60,60
"116.379198,39.96805",60,60
"116.381685,39.968111",40,40
"116.383631,39.96816",40,40
"116.383915,39.968167",40,40
"116.384068,39.968171",40,40
"116.385635,39.96821",40,40
"116.388639,39.968281",60,60
"116.389534,39.968289",60,60
"116.389992,39.968308",60,60
"116.390161,39.968315",60,60
"116.390365,39.968324",60,60
"116.391377,39.968278",60,60
"116.419266,39.949215",40,40
"116.42007,39.949358",40,40
"116.434207,39.940776",40,40
"116.43436,39.940829",40,40
"116.433162,39.941001",40,40
"116.224746,39.995503",20,20
"116.224578,39.995499",20,20
"116.286865,40.015574",60,60
"116.28687,40.015308",60,60
"116.286823,40.015191",60,60
"116.286718,40.01507",60,60
"116.286576,40.014981",60,60
"116.286347,40.014936",60,60
"116.294595,40.0144",20,20
"116.293469,40.014304",20,20
"116.292306,40.014209",20,20
"116.292012,40.014216",20,20
"116.291725,40.014269",20,20
"116.2866,40.01613",20,20
"116.287045,40.015003",60,60
"116.287171,40.014379",60,60
"116.288029,40.008856",60,60
"116.288798,40.003942",60,60
"116.419927,39.857112",20,20
"116.421009,39.857252",20,20
"116.423192,39.85764",20,20
"116.424256,39.857838",20,20
"116.42597,39.858118",20,20
"116.426393,39.85816",20,20
"116.427776,39.858252",20,20
"116.428677,39.858307",20,20
"116.429787,39.85839",20,20
"116.429926,39.8584",20,20
"116.431179,39.858486",20,20
"116.400303,39.855139",20,20
"116.400471,39.855697",20,20
"116.401528,39.856657",20,20
"116.401828,39.856765",20,20
"116.402202,39.856803",20,20
"116.402877,39.856808",20,20
"116.403297,39.856811",20,20
"116.403698,39.856873",20,20
"116.415496,39.83197",20,20
"116.41547,39.832643",20,20
"116.412341,39.857312",40,40
"116.412924,39.85701",20,20
"116.413515,39.856997",20,20
"116.415515,39.857027",20,20
"116.417798,39.85704",20,20
"116.418131,39.857042",20,20
"116.418572,39.857047",20,20
"116.414207,39.857315",40,40
"116.414155,39.856892",20,20
"116.419917,39.857255",20,20
"116.387623,39.857204",20,20
"116.385592,39.857222",20,20
"116.384234,39.857241",20,20
"116.339376,39.868251",20,20
"116.337134,39.867969",20,20
"116.283378,39.865398",60,60
"116.282872,39.86536",20,20
"116.271373,39.865406",20,20
"116.268391,39.865542",20,20
"116.266627,39.865776",20,20
"116.261815,39.866973",20,20
"116.240929,39.858896",40,40
"116.239643,39.85817",20,20
"116.239119,39.857583",20,20
"116.238612,39.855296",60,60
"116.238741,39.855829",60,60
"116.238785,39.856224",60,60
"116.238974,39.856906",20,40
"116.274204,39.873252",20,20
"116.274813,39.873432",20,20
"116.276399,39.874184",20,20
"116.284035,39.877559",20,20
"116.282667,39.877245",20,20
"116.28196,39.877064",20,20
"116.280943,39.876697",20,20
"116.278087,39.87572",60,60
"116.27676,39.879405",60,60
"116.276536,39.87998",60,60
"116.285354,39.877866",20,20
"116.280615,39.876451",20,20
"116.279318,39.875878",20,20
"116.274648,39.914009",20,20
"116.274575,39.914704",20,20
"116.364539,39.987458",20,20
"116.368609,39.987252",20,20
"116.358743,39.987111",20,20
"116.353286,39.993282",20,20
"116.353438,39.993287",20,20
"116.355278,39.99335",20,20
"116.355994,39.993372",20,20
"116.35907,39.993467",20,20
"116.359278,39.993473",20,20
"116.272537,40.032251",20,20
"116.276237,40.028218",20,20
"116.272808,40.032444",20,20
"116.27172,40.033952",20,20
"116.271323,40.034409",20,20
"116.267607,40.038054",20,20
"116.265288,40.039819",20,20
"116.260522,40.043449",20,20
"116.259854,40.043959",20,40
"116.258782,40.044946",20,20
"116.258473,40.045499",20,20
"116.257987,40.048945",20,20
"116.257904,40.049411",20,20
"116.257793,40.049844",20,20
"116.257724,40.050109",20,20
"116.257675,40.050204",20,20
"116.257586,40.050381",20,20
"116.257282,40.050919",20,20
"116.256542,40.051856",20,20
"116.2562,40.052257",20,20
"116.255705,40.052733",20,20
"116.272912,40.032303",40,40
"116.370076,39.968096",60,60
"116.367334,39.967714",20,20
